600,950,1300,950,900,950,300,950,-1500,950,900,950,800,450,600,450,500,450,300,450,1300,450,0,0,695305000.0
600,1000,300,1000,600,1000,-600,1000,700,1000,0,1000,-900,1000,0,500,700,0,3000,0,3000,0,3000,0,695930000.0
-1200,1000,600,1000,200,1000,-100,1000,700,1000,400,1000,-1400,1000,-200,130,800,0,3000,0,3000,0,3000,0,696308000.0
-700,1000,700,1000,-100,1000,300,1000,100,1000,400,1000,-600,1000,-1200,1000,300,100,400,0,3000,0,3000,0,696990000.0
1200,0,3000,0,3000,0,3000,0,3000,0,3000,0,3000,0,3000,0,3000,0,3000,0,3000,0,3000,0,693206000.0
200,1000,100,1000,-500,0,3000,0,3000,0,3000,0,3000,0,3000,0,3000,0,3000,0,3000,0,3000,0,692560000.0
0,1000,0,700,-500,0,3000,0,3000,0,3000,0,3000,0,3000,0,3000,0,3000,0,3000,0,3000,0,690856500.0
100,1000,-700,0,3000,0,3000,0,3000,0,3000,0,3000,0,3000,0,3000,0,3000,0,3000,0,3000,0,688470000.0
-200,200,500,200,100,0,3000,0,3000,0,3000,0,3000,0,3000,0,3000,0,3000,0,3000,0,3000,0,686040000.0
-400,1000,-400,1000,300,0,3000,0,3000,0,3000,0,3000,0,3000,0,3000,0,3000,0,3000,0,3000,0,682700000.0
-500,1000,-200,1000,400,1000,-200,1000,-600,1000,200,1000,-1700,1000,-500,1000,-200,1000,-100,1000,100,1000,-1000,300,685960000.0
200,1000,-100,1000,0,1000,-200,1000,-100,1000,-900,1000,-200,1000,0,1000,-400,1000,100,0,3000,0,3000,0,687934100.0
-400,1000,-600,1000,-100,0,3000,0,3000,0,3000,0,3000,0,3000,0,3000,0,3000,0,3000,0,3000,0,688350000.0
300,0,3000,0,3000,0,3000,0,3000,0,3000,0,3000,0,3000,0,3000,0,3000,0,3000,0,3000,0,687710000.0
-100,1000,400,1000,-400,1000,400,1000,-100,1000,400,1000,-1400,1000,400,1000,-100,1000,-600,1000,-400,300,500,0,682480000.0
200,1000,-300,900,0,900,100,900,500,900,-300,900,0,0,3000,0,3000,0,3000,0,3000,0,3000,0,683230000.0
200,1000,-1500,1000,400,1000,-400,1000,-100,1000,-200,0,3000,0,3000,0,3000,0,3000,0,3000,0,3000,0,684800000.0
